Email,Subuser Type,Subuser ID,Subuser,Date,Bandwidth Usage
ExampleUser1@gmail.com,Basic,802838.0,00cactusjack002eda,2020-09,0.824944336
ExampleUser1@gmail.com,Basic,802838.0,00cactusjack002eda,2020-10,1.459173828
ExampleUser2@gmail.com,Basic,,0303rockyd2bf,2020-10,1.737064453
ExampleUser3@gmail.com,Basic,337179.0,0stingrayhunter03ea5,2020-04,1.243245117
ExampleUser4@gmail.com,Basic,,1005923zzxz,2022-01,0.545953125
ExampleUser5@qq.com,Basic,,101096629643a56,2020-04,0.072435547
ExampleUser5@qq.com,Basic,,101096629643a56,2020-07,2.280601563
ExampleUser5@qq.com,Basic,,101096629643a56,2020-08,0.67272168
ExampleUser6@gmail.com,Basic,,1012805zz,2021-12,3.88403125
ExampleUser7@hotmail.com,Basic,,1012805zzxz,2022-01,2.843416992
ExampleUser7@hotmail.com,Basic,,1019075zzxz,2022-01,0.003754883
ExampleUser8@gmail.com,Basic,,1028abner5d50,2020-09,2.631017578
ExampleUser9@gmail.com,Basic,,1033622zzxz,2022-01,0.025244141
ExampleUser10@gmail.com,Basic,,1036901zz,2021-12,6.288388672
ExampleUser11@gmail.com,Basic,,1036901zzxz,2022-01,2.720731445
ExampleUser12@gmail.com,Basic,803180.0,1043978zzxz,2022-01,4.000879883
ExampleUser13@gmail.com,Basic,694499.0,1048007zzxz,2022-01,0.786176758
ExampleUser14@gmail.com,Basic,975983.0,1049792zz,2021-12,0.021553711
ExampleUser15@aol.com,Basic,,1049792zzxz,2022-01,0.271007813
ExampleUser16@gmail.com,Basic,,1058816zzxz,2022-01,1.542848633
ExampleUser17@gmail.com,Basic,491182.0,1064264zzxz,2022-01,0.0
ExampleUser11@gmail.com,Basic,,1069820zzxz,2022-01,2.186026367
ExampleUser18@gmail.com,Basic,,1072428521aa4b2a,2020-04,2.647602539
ExampleUser18@gmail.com,Basic,,1072428521aa4b2a,2020-05,1.857083984
ExampleUser19@gmail.com,Basic,,1084211zz,2021-12,3.453197266
ExampleUser20@gmail.com,Basic,383632.0,1084211zzxz,2022-01,1.072207031
ExampleUser21@gmail.com,Basic,452208.0,1084370zzxz,2022-01,29.91039551
